run_number,move_accuracy,step_accuracy,move_f1,step_f1,move_precision,move_recall,step_precision,step_recall,total_sentences,total_articles
38,0.8389513108614233,0.49063670411985016,0.849200304368415,0.5039509678701458,0.8716326998167185,0.8389513108614233,0.5649333578427955,0.49063670411985016,267,10
39,0.8164794007490637,0.5168539325842697,0.8285980553843584,0.5334072693036874,0.8519947891222928,0.8164794007490637,0.6006973792409496,0.5168539325842697,267,10
40,0.8202247191011236,0.47191011235955055,0.8316512423125347,0.47542804682989637,0.8535059600129332,0.8202247191011236,0.535432711551853,0.47191011235955055,267,10
41,0.8314606741573034,0.4943820224719101,0.8423449922082181,0.5055967055242155,0.8650987507851211,0.8314606741573034,0.5689661705230169,0.4943820224719101,267,10
42,0.8089887640449438,0.47191011235955055,0.8257911174715712,0.4876258826339947,0.8624731881176033,0.8089887640449438,0.5860085564356375,0.47191011235955055,267,10
43,0.8052434456928839,0.49063670411985016,0.8201667148441154,0.5035222627553795,0.8514004233838138,0.8052434456928839,0.5729550954811362,0.49063670411985016,267,10
44,0.8277153558052435,0.46441947565543074,0.8411066400529577,0.47471006741624655,0.8694282309450849,0.8277153558052435,0.5688865012283508,0.46441947565543074,267,10
45,0.8239700374531835,0.5280898876404494,0.8354715237962883,0.5382233115076915,0.8585467699537069,0.8239700374531835,0.5916557247529436,0.5280898876404494,267,10
46,0.8277153558052435,0.4794007490636704,0.8392598135441225,0.4861974817977047,0.8635926625929989,0.8277153558052435,0.5853327411662189,0.4794007490636704,267,10
47,0.8089887640449438,0.4943820224719101,0.8237779106347043,0.5071581721837594,0.8564784486371864,0.8089887640449438,0.5690699908203185,0.4943820224719101,267,10
48,0.8052434456928839,0.4606741573033708,0.821421982953316,0.47249998038861546,0.8591252496164692,0.8052434456928839,0.5569251259674309,0.4606741573033708,267,10
49,0.8314606741573034,0.50187265917603,0.8423449922082181,0.5119553405119206,0.8650987507851211,0.8314606741573034,0.5748219445056112,0.50187265917603,267,10
50,0.8089887640449438,0.4606741573033708,0.8231277207262495,0.47432322284547407,0.8526837297792653,0.8089887640449438,0.5520076502844372,0.4606741573033708,267,10
51,0.8014981273408239,0.4681647940074906,0.8163099506271442,0.4742170740109096,0.8461519305859493,0.8014981273408239,0.5315227821360121,0.4681647940074906,267,10
52,0.8089887640449438,0.47191011235955055,0.8245014921863484,0.4826255972264429,0.8604038749517068,0.8089887640449438,0.5679722549802851,0.47191011235955055,267,10
53,0.7827715355805244,0.40074906367041196,0.8009873249679083,0.41961080016656427,0.8406536002928671,0.7827715355805244,0.5224018105710109,0.40074906367041196,267,10
54,0.8277153558052435,0.4681647940074906,0.8385050238101666,0.4819780485440443,0.8600917285596394,0.8277153558052435,0.5544949982967761,0.4681647940074906,267,10
55,0.8202247191011236,0.4943820224719101,0.8350150489421608,0.5100360794638454,0.8666586933191969,0.8202247191011236,0.6124475787876849,0.4943820224719101,267,10
56,0.8052434456928839,0.4756554307116105,0.8201667148441154,0.49036998651041286,0.8514004233838138,0.8052434456928839,0.5589149926228577,0.4756554307116105,267,10
57,0.8277153558052435,0.4868913857677903,0.8385148620980206,0.4990833111074917,0.8600084153956893,0.8277153558052435,0.5648188878903283,0.4868913857677903,267,10
58,0.8089887640449438,0.49063670411985016,0.8232225257862263,0.4958989733817082,0.8527705508916263,0.8089887640449438,0.5607776901125919,0.49063670411985016,267,10
59,0.8202247191011236,0.4681647940074906,0.8337477115711797,0.4776330888574284,0.8643937970513448,0.8202247191011236,0.5538132348136577,0.4681647940074906,267,10
60,0.8164794007490637,0.4868913857677903,0.8291277928278707,0.49875738747713527,0.8556677361886289,0.8164794007490637,0.5617916853932697,0.4868913857677903,267,10
61,0.8202247191011236,0.45318352059925093,0.8316512423125347,0.4640154257430138,0.8535059600129332,0.8202247191011236,0.5243733907414995,0.45318352059925093,267,10
62,0.8089887640449438,0.4606741573033708,0.8238880627173518,0.48189210321119624,0.8565466665329565,0.8089887640449438,0.5816596801295507,0.4606741573033708,267,10
63,0.8089887640449438,0.46441947565543074,0.8238880627173518,0.47405498942888774,0.8565466665329565,0.8089887640449438,0.5529900396488183,0.46441947565543074,267,10
64,0.8389513108614233,0.49812734082397003,0.8492184606201482,0.5130914710692878,0.8716507316165353,0.8389513108614233,0.5909987391567793,0.49812734082397003,267,10
65,0.797752808988764,0.4794007490636704,0.8140588036271208,0.4914409297564089,0.8487376465050381,0.797752808988764,0.5678936085010281,0.4794007490636704,267,10
66,0.8164794007490637,0.4756554307116105,0.8300283751979082,0.49209305067684184,0.8592752832325696,0.8164794007490637,0.562560103582037,0.4756554307116105,267,10
67,0.8014981273408239,0.48314606741573035,0.8171123241289693,0.4923059490947159,0.8500566119457653,0.8014981273408239,0.5531110462571137,0.48314606741573035,267,10
68,0.8164794007490637,0.4756554307116105,0.8305657141841087,0.4940301875540787,0.8629962753797322,0.8164794007490637,0.5734549754663294,0.4756554307116105,267,10
69,0.8352059925093633,0.4943820224719101,0.8447025958270787,0.4997383427564549,0.8632416872725022,0.8352059925093633,0.5590258755049995,0.4943820224719101,267,10
70,0.8239700374531835,0.4943820224719101,0.8361790699514756,0.5035648945056926,0.8621213116830562,0.8239700374531835,0.5636168237054454,0.4943820224719101,267,10
71,0.8164794007490637,0.5093632958801498,0.8300283751979082,0.5154388898664325,0.8592752832325696,0.8164794007490637,0.5786571151045974,0.5093632958801498,267,10
