run_number,move_accuracy,step_accuracy,move_f1,step_f1,move_precision,move_recall,step_precision,step_recall,total_sentences,total_articles
26,0.8164794007490637,0.5580524344569289,0.8117993207333538,0.534051652681034,0.8190924135528265,0.8164794007490637,0.5676113015444362,0.5580524344569289,267,10
27,0.8426966292134831,0.5393258426966292,0.8415972948793765,0.5288657734207067,0.8407294298750733,0.8426966292134831,0.5250681775075859,0.5393258426966292,267,10
28,0.8202247191011236,0.5805243445692884,0.818516409917864,0.5612231111251093,0.8305639077913172,0.8202247191011236,0.6123712377925862,0.5805243445692884,267,10
29,0.8164794007490637,0.602996254681648,0.8118138041733548,0.5762264086748412,0.8196889004351496,0.8164794007490637,0.6147975855423589,0.602996254681648,267,10
30,0.8614232209737828,0.5805243445692884,0.8580384605269392,0.5583646152170519,0.8556214415665213,0.8614232209737828,0.5589038648866564,0.5805243445692884,267,10
31,0.8426966292134831,0.6217228464419475,0.834933723398747,0.5908448183612848,0.8420719645703028,0.8426966292134831,0.5865968561393521,0.6217228464419475,267,10
32,0.7902621722846442,0.5767790262172284,0.7897074704144003,0.576619618875151,0.7949279625419744,0.7902621722846442,0.610558043704111,0.5767790262172284,267,10
33,0.846441947565543,0.6179775280898876,0.8456046013911183,0.5984658025556532,0.8487514793512236,0.846441947565543,0.6232182526448016,0.6179775280898876,267,10
34,0.8202247191011236,0.550561797752809,0.8211453386001172,0.5467678771120674,0.8357417336016434,0.8202247191011236,0.5706433746017521,0.550561797752809,267,10
35,0.8239700374531835,0.5617977528089888,0.8232465589426866,0.5569314182662304,0.8321942715389682,0.8239700374531835,0.5765672591054798,0.5617977528089888,267,10
36,0.7902621722846442,0.5692883895131086,0.7888049787053699,0.5586831666086223,0.7934548019726473,0.7902621722846442,0.6061580632904522,0.5692883895131086,267,10
37,0.8651685393258427,0.5692883895131086,0.8625370674001169,0.5537403339639728,0.869688240884145,0.8651685393258427,0.5661825823168403,0.5692883895131086,267,10
38,0.8651685393258427,0.6067415730337079,0.8585437034875236,0.5677983162325551,0.8589867504329265,0.8651685393258427,0.5690465196391008,0.6067415730337079,267,10
39,0.846441947565543,0.5767790262172284,0.8452457129310537,0.5622216421482993,0.8450659889423935,0.846441947565543,0.5608365201029167,0.5767790262172284,267,10
40,0.8352059925093633,0.5692883895131086,0.8357259308217669,0.5607061129534617,0.8450881949710102,0.8352059925093633,0.5851300181661686,0.5692883895131086,267,10
41,0.846441947565543,0.5917602996254682,0.8429334079276972,0.5711866191357189,0.8449648694945271,0.846441947565543,0.597531059321628,0.5917602996254682,267,10
42,0.8539325842696629,0.5168539325842697,0.851127353436067,0.5122012209548139,0.8566940539436968,0.8539325842696629,0.5160446762974853,0.5168539325842697,267,10
43,0.8352059925093633,0.5767790262172284,0.8285725298383484,0.5448001782872571,0.8316935332006374,0.8352059925093633,0.5679459236128456,0.5767790262172284,267,10
44,0.8314606741573034,0.599250936329588,0.823572037293712,0.5710729291529837,0.8242928383719246,0.8314606741573034,0.5955666997140014,0.599250936329588,267,10
45,0.8352059925093633,0.5880149812734082,0.8325049336285291,0.5673181500524652,0.833120824674486,0.8352059925093633,0.572964259166366,0.5880149812734082,267,10
46,0.846441947565543,0.599250936329588,0.8454609886036275,0.5911736467791826,0.8600796494450553,0.846441947565543,0.605079777893171,0.599250936329588,267,10
47,0.8089887640449438,0.5655430711610487,0.8106163388224819,0.5475649341588155,0.8146801969692848,0.8089887640449438,0.5841830873673227,0.5655430711610487,267,10
48,0.846441947565543,0.5842696629213483,0.8418975228377455,0.5673703410522976,0.8457234868751723,0.846441947565543,0.5610206626743309,0.5842696629213483,267,10
49,0.846441947565543,0.5955056179775281,0.8441448105967972,0.5786641454395958,0.8473198213611723,0.846441947565543,0.5918094341486727,0.5955056179775281,267,10
50,0.8576779026217228,0.6292134831460674,0.8525335576103096,0.6067468108568504,0.8510178959617162,0.8576779026217228,0.6024982485913956,0.6292134831460674,267,10
